기준일자,전시ID,전시명,일일유료,일일무료,일일총인원,일일금액,누계유료,누계무료,누계총인원,누계금액,점유율
20241009,241004_01,5기 입주작가전_김용원,26,6,32,52000,93,37,130,186000,6.2
20241010,240712_01,앙리 마티스 LOVE & JAZZ,106,7,113,688000,4618,227,4845,25864000,129.3
20241010,241004_01,5기 입주작가전_김용원,10,5,15,20000,103,42,145,206000,6.8
20241011,240712_01,앙리 마티스 LOVE & JAZZ,23,0,23,147000,4641,227,4868,26011000,130.1
20241011,241004_01,5기 입주작가전_김용원,4,14,18,8000,107,56,163,214000,7.1
20241012,240712_01,앙리 마티스 LOVE & JAZZ,48,0,48,248000,4689,227,4916,26259000,131.3
20241012,241004_01,5기 입주작가전_김용원,34,9,43,68000,141,65,206,282000,9.3
20241013,240712_01,앙리 마티스 LOVE & JAZZ,50,0,50,272000,4739,227,4966,26531000,132.7
20241013,241004_01,5기 입주작가전_김용원,23,0,23,46000,164,65,229,328000,10.8
20241015,240712_01,앙리 마티스 LOVE & JAZZ,2,0,2,10000,4741,227,4968,26541000,132.7
20241015,241004_01,5기 입주작가전_김용원,20,0,20,40000,184,65,249,368000,12.2
20241016,240712_01,앙리 마티스 LOVE & JAZZ,49,8,57,253000,4790,235,5025,26794000,134
20241016,241004_01,5기 입주작가전_김용원,13,2,15,26000,197,67,264,394000,13
20241017,240712_01,앙리 마티스 LOVE & JAZZ,208,0,208,1046000,4998,235,5233,27840000,139.2
20241017,241004_01,5기 입주작가전_김용원,1,0,1,2000,198,67,265,396000,13.1
20241018,240712_01,앙리 마티스 LOVE & JAZZ,213,1,214,1169000,5211,236,5447,29009000,145
20241018,241004_01,5기 입주작가전_김용원,5,1,6,10000,203,68,271,406000,13.4
20241019,240712_01,앙리 마티스 LOVE & JAZZ,19,22,41,95000,5230,258,5488,29104000,145.5
20241019,241004_01,5기 입주작가전_김용원,15,1,16,30000,218,69,287,436000,14.4
20241020,240712_01,앙리 마티스 LOVE & JAZZ,86,0,86,457000,5316,258,5574,29561000,147.8
20241020,241004_01,5기 입주작가전_김용원,25,1,26,50000,243,70,313,486000,16.1
20241022,240712_01,앙리 마티스 LOVE & JAZZ,70,6,76,432000,5386,264,5650,29993000,150
20241022,241004_01,5기 입주작가전_김용원,23,0,23,46000,266,70,336,532000,17.6
20241023,240712_01,앙리 마티스 LOVE & JAZZ,15,0,15,77000,5401,264,5665,30070000,150.4
20241023,241004_01,5기 입주작가전_김용원,21,0,21,42000,287,70,357,574000,19
20241024,240712_01,앙리 마티스 LOVE & JAZZ,25,0,25,151000,5426,264,5690,30221000,151.1
20241024,241004_01,5기 입주작가전_김용원,14,3,17,28000,301,73,374,602000,19.9
20241025,240712_01,앙리 마티스 LOVE & JAZZ,70,1,71,418000,5496,265,5761,30639000,153.2
