순번,구분,기관명,주소,우편번호
239,여수_어린이집,꿈사랑어린이집,전남광주 여수시 소호6길 15-7 (소호동),
240,여수_어린이집,사랑가득어린이집,"전남광주 여수시 도원로 204 501동 103호(안산동, 부영5차아파트)",
241,여수_어린이집,엄마랑어린이집,"전남광주 여수시 쌍봉로 32 108동 103호(학동, 신동아파밀리에)",
242,여수_어린이집,초록나무어린이집,"전남광주 여수시 무선로 50 116동 102호(학동, 신동아파밀리에)",
243,여수_어린이집,한나 어린이집,"전남광주 여수시 안산1길 136 105동 109호(안산동, 모아미래도)",
244,여수_어린이집,해피하우스어린이집,"전남광주 여수시 도원로 204 506동 101호(안산동, 부영5차아파트)",
245,여수_어린이집,오뚜기어린이집,전남광주 여수시 여서동6길 8 (여서동),
246,여수_어린이집,예솜어린이집,"전남광주 여수시 봉계대곡길 50 106동 104호(봉계동,아주타운)",
247,여수_어린이집,해들어린이집,"전남광주 여수시 좌수영로 682-34 104동 102호(봉계동, 로얄골드빌)",
248,여수_어린이집,동국어린이집,전남광주 여수시 충무로 87 충무맨션 상가 2층 동국 어린이집,
249,여수_어린이집,남면어린이집,전남광주 여수시 금오로 860,
250,여수_어린이집,청솔어린이집,전남광주 여수시 강남1길 50 여수 돌산1차 청솔아파트 청솔어린이집,
251,여수_어린이집,묘도어린이집,전남광주 여수시 묘도1길 64 묘도어린이집,
252,여수_어린이집,대성베르힐어린이집,전남광주 여수시 여문2로 128-38 대성베르힐 관리동,
253,여수_어린이집,미평하나어린이집,전남광주 여수시 좌수영로 369-3 (미평동),
254,여수_어린이집,삼산어린이집,전남광주 여수시 삼산면 덕흥1길 29,
255,여수_어린이집,죽림1단지어린이집,전남광주 여수시 덕양로 97-9 죽림휴먼시아 1단지내 죽림1단지어린이집,
256,여수_어린이집,죽림2단지어린이집,전남광주 여수시 죽림로 38 죽림휴먼시아2단지내 죽림2단지어린이집,
257,여수_어린이집,중흥보듬이나눔이어린이집,전남광주 여수시 소라면 죽림3길 10 중흥보듬이나눔이어린이집,
258,여수_어린이집,힐스테이트죽림젠트리스어린이집,전남광주 여수시 덕양로 21-18,
259,여수_어린이집,웅천더힐1단지어린이집,전남광주 여수시 웅천로 262 웅천더힐1단지 내,
260,여수_어린이집,웅천어린이집,전남광주 여수시 웅천중앙로 54,
261,여수_어린이집,웅천포레나1단지어린이집,"전남광주 여수시 웅천남8로 24 (웅천동, 여수웅천포레나1단지 관리동)",
262,여수_어린이집,웅천포레나2단지어린이집,"전남광주 여수시 웅천남8로 23 (웅천동, 여수웅천포레나2단지 관리동 내))",
263,여수_어린이집,e편한세상여수더퍼스트어린이집,전남광주 여수시 학동북4길 7,
264,여수_어린이집,쌍봉어린이집,전남광주 여수시 안산1길 181 (안산동),
265,여수_어린이집,안산어린이집,전남광주 여수시 장성3길 30,
266,여수_어린이집,여서어린이집,전남광주 여수시 대치1길 26-3,
267,여수_어린이집,꿈모아어린이집,전남광주 여수시 성산6길 47-10,
268,여수_어린이집,여천어린이집,전남광주 여수시 무선1길 8 (선원동),
269,여수_어린이집,봉계어린이집,"전남광주 여수시 좌수영로 682-34 101동 105호(봉계동,로얄골드빌)",
270,여수_어린이집,연등어린이집,전남광주 여수시 연등6길 54 (연등동),
271,여수_어린이집,수정어린이집,전남광주 여수시 수정2길 11 (수정동),
272,여수_어린이집,나진어린이집,전남광주 여수시 화양면 나진길 16-26 여수시립나진어린이집,
273,여수_어린이집,화정어린이집,전남광주 여수시 화정면 신흥길 32-11,
274,여수_어린이집,해오름어린이집,전남광주 여수시 돌산읍 강남10길 18-20,
275,여수_어린이집,그리스도어린이집,전남광주 여수시 둔덕1길 16 (둔덕동),
276,여수_어린이집,도담어린이집,전남광주 여수시 상암로 16,
277,여수_어린이집,라온어린이집,"전남광주 여수시 용수길 2-9 (둔덕동, 라온어린이집)",
278,여수_어린이집,한려어린이집,전남광주 여수시 쌍봉로 316 한려아파트내 (한려어린이집),
279,여수_어린이집,시티어린이집,"전남광주 여수시 덕충안길 84 204동 1층(덕충동,시티프라디움2단지)",
280,여수_어린이집,초록빛어린이집,"전남광주 여수시 박람회길 61 덕충동, 엑스포힐스테이트 1단지내",
281,여수_어린이집,사과나무어린이집,전남광주 여수시 허문정1길 39 (문수동),
282,여수_어린이집,안데르센어린이집,전남광주 여수시 여문2로 53-4,
283,여수_어린이집,양우내안애어린이집,전남광주 여수시 소라면 도원로 80 (죽림 양우내안애),
284,여수_어린이집,여수죽림1차부영사랑으로어린이집,전남광주 여수시 소라면 죽림로 10 (죽림부영1단지내 보육시설),
285,여수_어린이집,여수죽림2차부영사랑으로어린이집,전남광주 여수시 소라면 덕양로 114 (죽림부영2차내),
286,여수_어린이집,고우나어린이집,전남광주 여수시 시전4길 9 (신기동),
287,여수_어린이집,더테라스어린이집,전남광주 여수시 웅천남1로 99,
288,여수_어린이집,로제비앙어린이집,전남광주 여수시 신기북7길 30 대광로제비앙샌텀29 관리동,
289,여수_어린이집,민들레어린이집,"전남광주 여수시 웅천중앙로 33 (웅천동, 웅천지웰2차)",
290,여수_어린이집,여수웅천1차부영사랑으로어린이집,"전남광주 여수시 웅천로 189 웅천동, 여수웅천 부영1차아파트",
291,여수_어린이집,여수웅천2차부영사랑으로어린이집,"전남광주 여수시 웅천로 261 웅천동, 여수웅천 부영2차아파트",
292,여수_어린이집,여수웅천3차부영사랑으로어린이집,전남광주 여수시 웅천로 291 웅천 부영3차,
293,여수_어린이집,예울어린이집,전남광주 여수시 예울마루로 30 107동 1층,
