uid	번호	구분	공연장	티켓오픈	제목	모수	연령_20세 미만	연령_20~29세	연령_30~39세	연령_40~49세	연령_50~59세	연령_60~69세	연령_70세 이상	거주_여수	거주_순천	거주_광양	거주_호남	거주_광주	거주_호남외지역
1028	1014	대관	소극장	2023.10.13 01시	주현주 네 번째 소리판 춘향가 2 - 節槪	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1026	1013	대관	소극장	2023.10.10 01시	Re: 本[리:본]-딸과 함께 듣고 싶은 감성콘서트	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1025	1012	공동기획	대극장	2023.10.05 01시	세종솔로이스츠와 이안보스트리지의 <일뤼미나시옹>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1024	1011	대관	대극장	01시	여수시립국악단 제43회 정기공연 '조우'	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1023	1010	대관	대극장	2023.09.27 01시	[상주단체]여순1019 창작오페라 바다에 핀 동백	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1022	1009	기획	기타	01시	2023 예울마루 야외콘서트	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021	1008	기획	소극장	2023.09.22 01시	뮤지컬 <포파이> - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1020	1007	대관	대극장	2023.09.20 01시	제47회 여수예술제	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019	1006	기획	대극장	2023.10.06 01시	이머시브 SF 가족 뮤지컬 <그래비티 스페이스>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1018	1005	대관	소극장	2023.09.19 01시	가을밤의세레나데	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1017	1004	대관	소극장	2023.09.19 01시	첼리스트 서지수의 TANGO WITH ME	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1016	1003	대관	대극장	2023.09.19 01시	2023 이승환 콘서트 〈이상한 이승환〉 - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1014	1002	대관	대극장	2023.09.12 01시	2023여수재즈페스티벌	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1013	1001	대관	대극장	2023.09.07 01시	JOY OF PERCUSSION 제7회 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1012	1000	대관	대극장	2023.09.07 01시	가족뮤지컬 고고다이노 고고킹의 귀환	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1011	999	대관	대극장	2023.09.06 01시	여수필하모닉오케스트라 제35회 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010	998	기획	대극장	2023.09.08 01시	선우예권 피아노 리사이틀	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1009	997	대관	소극장	2023.09.06 01시	Y-BRASS 제3회 정기연주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1008	996	공동기획	대극장	2023.09.07 01시	뮤지컬 <맘마미아> - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1007	995	대관	소극장	2023.08.23 01시	건반과 현의 조화, 트라움 실내악 콘서트	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1006	994	대관	소극장	2023.08.23 01시	바이올리니스트 서주희 피아니스트 김동준 듀오 콘서트	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1005	993	대관	소극장	2023.08.17 01시	세상에서 가장 작은 오케스트라	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1004	992	기획	소극장	2023.08.17 01시	양성원&엔리코파체 듀오 리사이틀	1	0	0	0	0	100	0	0	0	100	0	0	0	0
1003	991	대관	대극장	2023.08.10 01시	‘바리톤 이중현의 여수! 그리고 1948 그날의 노래’	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1002	990	대관	대극장	2023.08.08 14시	KBS교향악단과 함께하는 제7회 여수음악제 폐막연주회 - Music Exhibition	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1001	989	대관	소극장	2023.08.08 14시	KBS교향악단과 함께하는 제7회 여수음악제 실내악 시리즈 3 - Quartet FINALLY의 ‘황제’	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	988	대관	소극장	2023.08.08 14시	KBS교향악단과 함께하는 제7회 여수음악제 실내악 시리즈 2 - 테너 존노의 ‘그리움’	0	0	0	0	0	0	0	0	0	0	0	0	0	0
999	987	대관	소극장	2023.08.08 14시	KBS교향악단과 함께하는 제7회 여수음악제 실내악 시리즈 1 - 색소포니스트 브랜든 최의 ‘Golden Night’	0	0	0	0	0	0	0	0	0	0	0	0	0	0
998	986	대관	대극장	2023.08.08 14시	KBS교향악단과 함께하는 제7회 여수음악제 특별연주회 - 정트리오 ‘세기의 거장들’	0	0	0	0	0	0	0	0	0	0	0	0	0	0
997	985	대관	대극장	2023.08.08 14시	KBS교향악단과 함께하는 제7회 여수음악제 개막연주회 - 정명훈의 ‘브루크너’	0	0	0	0	0	0	0	0	0	0	0	0	0	0
996	984	대관	대극장	2023.08.07 02시	2023 이승철 전국투어 콘서트: RETRO Night - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
995	983	대관	소극장	2023.07.28 01시	CHEER UP! 청춘 FIRST SERIES SPARKULOUS	0	0	0	0	0	0	0	0	0	0	0	0	0	0
994	982	대관	소극장	2023.07.28 01시	류희윤 바이올린 독주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
993	981	대관	대극장	2023.07.26 01시	CTS전남방송 개국 19주년 기념 감사콘서트	0	0	0	0	0	0	0	0	0	0	0	0	0	0
992	980	기획	대극장	2023.07.27 13시	2023 예울마루 실내악 페스티벌	1	0	0	0	0	100	0	0	0	0	0	0	0	100
991	979	대관	대극장	2023.08.31 01시	해설이 있는 오페라 갈라콘서트 '리골레토'	0	0	0	0	0	0	0	0	0	0	0	0	0	0
990	978	대관	대극장	2023.07.11 01시	신카이 마코토 영화음악 콘서트－여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
989	977	대관	소극장	2023.07.01 01시	WALD 오케스트라와 함께하는 청소년 유망신예 협연의 밤	0	0	0	0	0	0	0	0	0	0	0	0	0	0
988	976	기획	대극장	2023.07.07 14시	브런치콘서트 <미술 속 음악 이야기 - 고흐 vs 고갱>	1	0	0	100	0	0	0	0	100	0	0	0	0	0
987	975	대관	대극장	2023.06.29 02시	히사이시 조 영화음악 콘서트 2023_여수 앙코르	0	0	0	0	0	0	0	0	0	0	0	0	0	0
986	974	대관	소극장	2023.06.23 01시	제4회 가야금 앙상블 뜰연 정기연주회 더하다 + ADd	0	0	0	0	0	0	0	0	0	0	0	0	0	0
985	973	대관	소극장	2023.06.15 01시	제4회 위드유앙상블 정기연주회 ROMANCE IN RUSSIAN MUSIC	0	0	0	0	0	0	0	0	0	0	0	0	0	0
984	972	기획	대극장	2023.06.16 14시	헬로!오페라 <마술피리>	0	0	0	0	0	0	0	0	0	0	0	0	0	0
983	971	대관	소극장	2023.06.15 01시	세르게이 도렌스키 메모리얼 콘서트 : 2023 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
982	970	기획	대극장	2023.06.30 13시	가족뮤지컬 <이상한 엄마> - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
981	969	기획	소극장	2023.06.29 14시	연극 <서교동에서 죽다> - 여수	2	0	0	0	0	100	0	0	0	100	0	0	0	0
980	968	대관	소극장	2023.05.31 09시	강금화 피아노 독주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
979	967	대관	소극장	2023.05.24 01시	제1회 류가연 가야금 독주회	0	0	0	0	0	0	0	0	0	0	0	0	0	0
978	966	대관	대극장	2023.05.23 02시	NEW 뮤지컬 미니특공대 브이레인저스 - 여수	0	0	0	0	0	0	0	0	0	0	0	0	0	0
977	965	대관	대극장	2023.05.23 10시	2023 제8회 여수에코국제음악제 6/18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
976	964	대관	대극장	2023.05.23 10시	2023 제8회 여수에코국제음악제 6/17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
975	963	대관	대극장	2023.05.23 10시	2023 제8회 여수에코국제음악제 6/16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
